"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","974","Создание заказа без авторизации","tests","2026-09-13","passed","2026-09-13","TestOrderCreation","test_order_create","",""
"","4802","Создание заказа с авторизацией и ингредиентами","tests","2026-09-13","passed","2026-09-13","TestOrderCreation","test_order_create","",""
"","1704","Создание уникального пользователя","tests","2026-09-13","passed","2026-09-13","TestUserCreation","test_user_create","",""
"","513","Получение заказов без авторизации — ошибка 401","tests","2026-09-13","passed","2026-09-13","TestUserOrders","test_user_orders","",""
"","1131","Получение заказов авторизованного пользователя","tests","2026-09-13","passed","2026-09-13","TestUserOrders","test_user_orders","",""
"","461","Создание пользователя, который уже зарегистрирован — ошибка 403","tests","2026-09-13","passed","2026-09-13","TestUserCreation","test_user_create","",""
"","459","Создание пользователя без одного из обязательных полей — ошибка 403","tests","2026-09-13","passed","2026-09-13","TestUserCreation","test_user_create","",""
"","4613","Создание заказа с ингредиентами","tests","2026-09-13","passed","2026-09-13","TestOrderCreation","test_order_create","",""
"","483","Создание пользователя без одного из обязательных полей — ошибка 403","tests","2026-09-13","passed","2026-09-13","TestUserCreation","test_user_create","",""
"","481","Создание заказа с неверным хешем ингредиентов — ошибка 500","tests","2026-09-13","passed","2026-09-13","TestOrderCreation","test_order_create","",""
"","558","Изменение поля password с авторизацией","tests","2026-09-13","passed","2026-09-13","TestUserUpdate","test_user_update","",""
"","462","Изменение поля name с авторизацией","tests","2026-09-13","passed","2026-09-13","TestUserUpdate","test_user_update","",""
"","455","Создание пользователя без одного из обязательных полей — ошибка 403","tests","2026-09-13","passed","2026-09-13","TestUserCreation","test_user_create","",""
"","460","Создание заказа без ингредиентов — ошибка 400","tests","2026-09-13","passed","2026-09-13","TestOrderCreation","test_order_create","",""
"","476","Изменение данных без авторизации — ошибка 401","tests","2026-09-13","passed","2026-09-13","TestUserUpdate","test_user_update","",""
"","484","Изменение поля email с авторизацией","tests","2026-09-13","passed","2026-09-13","TestUserUpdate","test_user_update","",""
"","554","Логин под существующим пользователем","tests","2026-09-13","passed","2026-09-13","TestUserLogin","test_user_login","",""
"","573","Логин с неверным логином и паролем — ошибка 401","tests","2026-09-13","passed","2026-09-13","TestUserLogin","test_user_login","",""
